Rank,Stadium,Seating capacity,Region,Country,City,Images,Home team(s)
181,San Mamés,53332,Europe,Spain,Bilbao,,Athletic Bilbao
182,Aleppo International Stadium ♦,53200,West Asia,Syria,Aleppo,,Al-Ittihad
183,Estadio Nacional,53086,South America,Peru,Lima,,Peru national football team
184,Huanglong Stadium,52672,East Asia,China,"Hangzhou, Zhejiang",,Hangzhou FC
185,RAMS Park,52652,Europe,Turkey,Istanbul,,Galatasaray
186,Suncorp Stadium,52500,Oceania,Australia,"Brisbane, Queensland",,"Brisbane Broncos, Queensland Maroons, Brisbane Roar FC, Queensland Reds"
187,St. James' Park,52405,Europe,England,"Newcastle upon Tyne, North East",,Newcastle United
188,Kings Park Stadium,52000,Africa,South Africa,"Durban, KwaZulu-Natal",,"Lamontville Golden Arrows, Cell C Durban Sharks"
189,Newlands Stadium,51900,Africa,South Africa,"Cape Town, Western Cape",,
190,Hampden Park,"51,866[53]",Europe,Scotland,Glasgow,,"Scotland national football team, Queen's Park"
191,Estadio Monumental de Maturín ♦,51796,South America,Venezuela,Maturín,,Monagas Sport Club
192,Loftus Versfeld Stadium,51762,Africa,South Africa,"Pretoria, Gauteng",,SuperSport United and Vodacom Pretoria Bulls
193,Aviva Stadium ♦,51700,Europe,Ireland,Dublin,,"Leinster Rugby, Republic of Ireland national football team, Ireland national rugby union team"
194,Guiyang Olympic Sports Centre Stadium,51638,East Asia,China,"Guiyang, Guizhou",,
195,Hohhot City Stadium,51632,East Asia,China,"Hohhot, Inner Mongolia",,
196,Rajamangala National Stadium ♦,51552,Southeast Asia,Thailand,Bangkok,,Thailand national football team
197,Donbass Arena,51504,Europe,Ukraine,Donetsk,,
198,El Cilindro,51389,South America,Argentina,Avellaneda,,Racing Club de Avellaneda
199,İzmir Atatürk Stadyumu,51295,West Asia,Turkey,İzmir,,"Altay SK, Göztepe AŞ"
200,Stadion Feijenoord,51117,Europe,Netherlands,Rotterdam,,Feyenoord
201,Estadio BBVA,"51,000[54]",North America,Mexico,Monterrey,,CF Monterrey
202,Ghadir Stadium,51000,West Asia,Iran,Ahvaz,,Foolad FC
203,Estádio José Pinheiro Borda,50942,South America,Brazil,Porto Alegre. Rio Grande do Sul,,SC Internacional
204,Ibrox Stadium,"50,817[55]",Europe,Scotland,Glasgow,,Rangers FC
205,Shizuoka Stadium,"50,889[56]",East Asia,Japan,"Fukuroi, Shizuoka",,"Júbilo Iwata, Shimizu S-Pulse, Shizuoka Blue Revs"
206,Ernst-Happel-Stadion ♦,50865,Europe,Austria,Vienna,,Austria national football team
207,Huntington Bank Stadium,50805,North America,United States,Minneapolis,,Minnesota Golden Gophers football
208,Estadio Cuauhtémoc,50754,North America,Mexico,Puebla,,Puebla FC
209,Strawberry Arena ♦,50653,Europe,Sweden,Solna,,"Sweden men's national football team, AIK Fotboll"
210,Ülker Stadyumu,50509,West Asia,Turkey,Istanbul,,Fenerbahçe
211,Stanford Stadium,50424,North America,United States,"Palo Alto, California",,
212,Stade Pierre-Mauroy,50186,Europe,France,Villeneuve-d'Ascq,,Lille OSC
213,Stade Roi Baudouin ♦,50122,Europe,Belgium,Brussels,,Belgium national football team
214,Shaanxi Province Stadium,50100,East Asia,China,"Xi'an, Shaanxi",,
215,Ajinomoto Stadium,50100,East Asia,Japan,"Chofu, Tokyo",,"FC Tokyo, Tokyo Verdy, Tokyo Sungoliath, Toshiba Brave Lupus Tokyo"
216,Estádio José Alvalade,50095,Europe,Portugal,Lisbon,,Sporting CP
217,Estádio do Dragão,50033,Europe,Portugal,Porto,,FC Porto
218,Casa de Apostas Arena Fonte Nova,50025,South America,Brazil,"Salvador, Bahia",,EC Bahia
219,Stade Olympique de Sousse,50000,Africa,Tunisia,Sousse,,Étoile du Sahel
220,RheinEnergieSTADION,50000,Europe,Germany,Cologne,,1. FC Köln
221,Harbin Sports City Centre Stadium,50000,East Asia,China,"Harbin, Heilongjiang",,
222,Greenfield International Stadium,"50,000[57]",South Asia,India,Trivandrum,,
223,EMS Stadium,50000,South Asia,India,Kozhikode,,"India national football team, Gokulam Kerala FC"
224,KD Singh Babu Stadium,50000,South Asia,India,Lucknow,,
225,Eden Park ♦,50000,Oceania,New Zealand,Auckland,,"Auckland Blues, New Zealand Warriors"
226,Estádio 11 de Novembro ♦,50000,Africa,Angola,Luanda,,"Angola national football team, Primeiro de Agosto, Petro Luanda"
227,Henan Provincial Stadium,50000,East Asia,China,"Zhengzhou, Henan",,
228,Jiangxi Olympic Sports Center,50000,East Asia,China,"Nanchang, Jiangxi",,
229,Max-Morlock-Stadion,50000,Europe,Germany,Nuremberg,,1. FC Nürnberg
230,June 11 Stadium ♦,50000,Africa,Libya,Tripoli,,"Libya, Al-Ahly SC, Al-Ittihad Tripoli, Al-Madina SC"
231,Xinjiang Sports Centre Stadium,50000,East Asia,China,"Urumqi, Xinjiang",,
232,Kim Il-sung Stadium,50000,East Asia,North Korea,Pyongyang,,Pyongyang City Sports Club
233,EDION Stadium Hiroshima,50000,East Asia,Japan,Hiroshima,,Sanfrecce Hiroshima
234,Pars Shiraz Stadium,50000,West Asia,Iran,Shiraz,,Fajr Sepasi Shiraz FC
235,Stade du 26 mars ♦,50000,Africa,Mali,Bamako,,Stade Malien
236,Stade Abdoulaye Wade,50000,Africa,Senegal,Dakar,,Senegal national football team
237,Sultan Mizan Zainal Abidin Stadium,50000,Southeast Asia,Malaysia,Kuala Terengganu,,Terengganu FA
238,Estadio Akron,49850,North America,Mexico,Guadalajara,,C.D. Guadalajara
239,Levy Mwanawasa Stadium,49800,Africa,Zambia,Lusaka,,Zesco United
240,Fritz-Walter-Stadion,49780,Europe,Germany,Kaiserslautern,,1. FC Kaiserslautern
241,Estadio José Amalfitani,49540,South America,Argentina,Buenos Aires,,CA Vélez Sársfield
242,Camille Chamoun Sports City Stadium ♦,"49,500[58]",West Asia,Lebanon,Beirut,,"Lebanon national football team, Al Ahed FC, Al Ansar FC, Nejmeh SC"
243,Miyagi Stadium,49133,East Asia,Japan,"Rifu, Miyagi",,Vegalta Sendai
244,Incheon Munhak Stadium,49084,East Asia,South Korea,Incheon,,
245,Heinz-von-Heiden-Arena,49000,Europe,Germany,Hanover,,Hannover 96
246,Parc des Princes,48712,Europe,France,Paris,,Paris Saint-Germain
247,Stadium of Light,48707,Europe,England,"Sunderland, Tyne and Wear",,Sunderland AFC
248,Estadio Nacional ♦,48665,South America,Chile,Santiago,,"Chile national football team, CF Universidad de Chile"
249,Nelson Mandela Bay Stadium,48459,Africa,South Africa,"Port Elizabeth, Eastern Cape",,Chippa United FC
250,Estadio Tomás Adolfo Ducó,48314,South America,Argentina,Buenos Aires,,CA Huracán
251,Jinnah Sports Stadium ♦,48200,South Asia,Pakistan,Islamabad,,Pakistan national football team
252,Estadio Libertadores de América,48069,South America,Argentina,Avellaneda,,Club Atlético Independiente
253,Free State Stadium,48000,Africa,South Africa,"Bloemfontein, Free State",,"Bloemfontein Celtic, Toyota Cheetahs"
254,Nagai Stadium,47816,East Asia,Japan,Osaka,,"Cerezo Osaka, NTT DoCoMo Red Hurricanes Osaka"
255,Neo Química Arena,47605,South America,Brazil,"São Paulo, São Paulo",,Corinthians
256,Rogers Centre,47568,North America,Canada,"Toronto, Ontario",,"Toronto FC, Toronto Argonauts"
257,Estadio Monumental,47347,South America,Chile,Santiago,,Colo-Colo
258,Stadio Artemio Franchi,47282,Europe,Italy,Florence,,ACF Fiorentina
259,Estadio Ciudad de Lanús – Néstor Díaz Pérez,47027,South America,Argentina,Lanús,,CA Lanús
260,Estadio Metropolitano Roberto Meléndez,46788,South America,Colombia,Barranquilla,,"Colombia national football team, Atlético Junior"
261,Estádio Olímpico Nilton Santos,46831,South America,Brazil,"Rio de Janeiro, Rio de Janeiro",,Botafogo FR
262,Itaipava Arena Pernambuco,46154,South America,Brazil,"São Lourenço da Mata, Pernambuco",,Náutico
263,Arena MRV,46000,South America,Brazil,"Belo Horizonte, Minas Gerais",,C Atlético Mineiro
264,Estádio Paulo Constantino,45954,South America,Brazil,"Presidente Prudente, São Paulo",,Grêmio Prudente
265,Estadio Atanasio Girardot,45739,South America,Colombia,Medellín,,"Atlético Nacional, Independiente Medellín"
266,Estadio Ramón Sánchez Pizjuán,45500,Europe,Spain,Seville,,Sevilla FC
267,Adrar Stadium,45480,Africa,Morocco,Agadir,,Hassania Agadir
268,Lukoil Arena,45360,Europe,Russia,Moscow,,Spartak Moscow
269,Grand stade de Marrakech,45240,Africa,Morocco,Marrakesh,,Kawkab Marrakech
270,Mandela National Stadium ♦,45202,Africa,Uganda,Kampala,,Uganda national football team
271,Tarczyński Arena Wrocław,45105,Europe,Poland,Wrocław,,Śląsk Wrocław
272,Kazan Arena,45105,Europe,Russia,Kazan,,Rubin Kazan
273,Estadio Inca Garcilaso de la Vega,45056,South America,Peru,Cusco,,"CS Cienciano, Deportivo Garcilaso, Cusco FC"
274,Estádio da Machava ♦,45000,Africa,Mozambique,Maputo,,Mozambique national football team
275,Stadion Gelora Bung Tomo,45000,Southeast Asia,Indonesia,"Surabaya, East Java",,Persebaya Surabaya
276,Stadion Harapan Banga,45000,Southeast Asia,Indonesia,"Banda Aceh, Aceh",,"Persiraja, Aceh United"
277,Estadio General Pablo Rojas ♦,45000,South America,Paraguay,Asunción,,Club Cerro Porteño
278,Stade Mohammed V ♦,"45,000[59]",Africa,Morocco,Casablanca,,"Wydad, Raja"
279,Latakia Sports City Stadium,45000,West Asia,Syria,Latakia,,
280,Zibo Sports Centre Stadium,45000,East Asia,China,"Zibo, Shandong",,
281,Weifang Sports Centre Stadium,45000,East Asia,China,"Weifang, Shandong",,
282,Yantai Sports Park Stadium,45000,East Asia,China,"Yantai, Shandong",,
283,Stadium Tuanku Abdul Rahman,45000,Southeast Asia,Malaysia,Seremban,,"ATM FA, Negeri Sembilan"
284,Stade du Complexe sportif de Fès,45000,Africa,Morocco,Fes,,"Wydad de Fès, Maghreb de Fès"
285,Lagos National Stadium,45000,Africa,Nigeria,Lagos,,Nigeria national football team
286,Egyptian Army Stadium,45000,Africa,Egypt,Suez,,
287,Toyota Stadium,45000,East Asia,Japan,"Toyota City, Aichi",,"Nagoya Grampus, Toyota Verblitz"
288,Zayed Sports City Stadium,"45,000[60]",West Asia,United Arab Emirates,Abu Dhabi,,
289,Red Bull Arena,44345,Europe,Germany,Leipzig,,RB Leipzig
290,Estádio Governador Alberto Tavares Silva,44200,South America,Brazil,Teresina,,"River AC, EC Flamengo, Piauí EC, SE Tiradentes, Auto EC"
291,Estádio Universitário Pedro Pedrossian,44200,South America,Brazil,"Campo Grande, Mato Grosso do Sul",,"EC Comercial, Operário FC"
292,Ulsan Munsu Football Stadium,44102,East Asia,South Korea,Ulsan,,Ulsan HD FC
293,Arena Pantanal,44097,South America,Brazil,"Cuiabá, Mato Grosso",,"Cuiabá, Mixto EC"
294,Arena da Amazônia,44000,South America,Brazil,"Manaus, Amazonas",,Nacional FC
295,Suwon World Cup Stadium,43959,East Asia,South Korea,Suwon,,Suwon Samsung Bluewings
296,Stadion Utama Riau,43923,Southeast Asia,Indonesia,"Pekanbaru, Riau",,PSPS Pekanbaru
297,Allianz Parque,43713,South America,Brazil,"São Paulo, São Paulo",,SE Palmeiras
298,Shandong Provincial Stadium,43700,East Asia,China,"Jinan, Shandong",,
299,Polsat Plus Arena Gdańsk,43615,Europe,Poland,Gdańsk,,Lechia Gdańsk
300,Estadio Pedro Bidegain,43494,South America,Argentina,Buenos Aires,,CA San Lorenzo de Almagro
301,Stadion Miejski w Poznaniu,43269,Europe,Poland,Poznań,,"Lech Poznań, Warta Poznań"
302,Vasil Levski National Stadium,43230,Europe,Bulgaria,Sofia,,Bulgaria national football team
303,Estadio Universidad San Marcos,43000,South America,Peru,Lima,,Deportivo Universidad San Marcos
304,Ullevi,43000,Europe,Sweden,Gothenburg,,Sweden women's national football team
305,Jinzhou Binhai Sports Centre Stadium,43000,East Asia,China,Jinzhou,,
306,Estadio General Santander,42901,South America,Colombia,Cúcuta,,Cúcuta Deportivo
307,Villa Park,42682,Europe,England,"Birmingham, West Midlands",,Aston Villa
308,Perak Stadium,42500,Southeast Asia,Malaysia,Perak,,Perak FA
309,Jeonju World Cup Stadium,42477,East Asia,South Korea,Jeonju,,Jeonbuk Hyundai Motors FC
310,Ligga Arena,42372,South America,Brazil,"Curitiba, Paraná",,Athletico Paranaense
311,Weserstadion,42358,Europe,Germany,Bremen,,SV Werder Bremen
312,Denka Big Swan Stadium,42300,East Asia,Japan,"Niigata, Niigata",,Albirex Niigata
313,Estadio Olimpico Metropolitano de Mérida,42200,South America,Venezuela,Mérida,,Estudiantes de Mérida
314,Daejeon World Cup Stadium,42176,East Asia,South Korea,Daejeon,,Daejeon Citizen
315,Matmut ATLANTIQUE,42115,Europe,France,Bordeaux,,FC Girondins de Bordeaux
316,Helsingin Olympiastadion ♦,42062,Europe,Finland,Helsinki,,Finland national football team
317,Estádio Serra Dourada,42000,South America,Brazil,"Goiânia, Goiás",,"Goiás Esporte Clube, Vila Nova, Atlético Goianiense"
318,Estadio Deportivo Cali ♦,42000,South America,Colombia,Cali,,Deportivo Cali
319,Estadio Modelo Alberto Spencer,42000,South America,Ecuador,Guayaquil,,"Club Sport Patria, Club Deportivo Everest, Panamá Sporting Club, Rocafuerte Fútbol Club"
320,Estádio do Zimpeto,42000,Africa,Mozambique,Maputo,,Mozambique national football team
321,Chengdu Sports Centre Stadium,42000,East Asia,China,"Chengdu, Sichuan",,
322,Royal Bafokeng Stadium,42000,Africa,South Africa,"Phokeng, North West",,
323,Estadio Universitario,42000,North America,Mexico,San Nicolás de los Garza,,Tigres de la UANL
324,Estadio Brigadier General Estanislao López,42000,South America,Argentina,Santa Fe,,Club Atlético Colón
325,Estadio Marcelo Bielsa,42000,South America,Argentina,Rosario,,Newell's Old Boys
326,Stade Geoffroy-Guichard,41965,Europe,France,Saint-Étienne,,AS Saint-Étienne
327,Vodafone Park,41903,Europe,Turkey,Istanbul,,Beşiktaş J.K.
328,Peter Mokaba Stadium,41733,Africa,South Africa,Polokwane,,Polokwane City FC
329,Estadio Gigante de Arroyito,41654,South America,Argentina,Rosario,,Rosario Central
330,Estadio Cachamay,41600,South America,Venezuela,Ciudad Guayana,,"Atlético Club Mineros de Guayana, AC Minervén FC"
331,Estadio de Liga Deportiva Universitaria,41596,South America,Ecuador,Quito,,LDU
332,Allianz Stadium,41507,Europe,Italy,"Turin, Piedmont",,Juventus FC
333,Sapporo Dome,41484,East Asia,Japan,"Sapporo, Hokkaido",,Hokkaido Consadole Sapporo
334,Stamford Bridge,41663,Europe,England,London,,Chelsea
335,Goyang Stadium,41311,East Asia,South Korea,Goyang,,
336,Estadio Hernando Siles ♦,41143,South America,Bolivia,La Paz,,"La Paz FC, Club Bolívar, The Strongest"
337,Bingu National Stadium,41100,Africa,Malawi,Lilongwe,,"Flames, Big Bullets FC"
338,Mbombela Stadium,40929,Africa,South Africa,"Nelspruit, Mpumalanga",,
339,Estadio José Pachencho Romero,40800,South America,Venezuela,Maracaibo,,"Deportivo JBL del Zulia, Deportivo Rayo Zuliano"
340,Stade Nelson Mandela,40784,Africa,Algeria,Algiers,,Algeria national football team
341,Kashima Football Stadium,40728,East Asia,Japan,"Kashima, Ibaraki",,Kashima Antlers
342,Baba Yara Stadium ♦,40528,Africa,Ghana,Kumasi,,"Asante Kotoko, King Faisal Babes"
343,Estádio Major Antônio Couto Pereira,40502,South America,Brazil,"Curitiba, Paraná",,Coritiba Foot Ball Club
344,Stage Front Stadium,40500,Europe,Spain,Barcelona,,RCD Espanyol
345,Estadio Metropolitano de fútbol de Lara,40312,South America,Venezuela,Barquisimeto,,Unión Lara
346,Estadio Malvinas Argentinas,40268,South America,Argentina,Mendoza,,Godoy Cruz Antonio Tomba
347,Stadion Lukas Enembe,40263,Southeast Asia,Indonesia,Nolokla,,Persipura Jayapura
348,Gwangju World Cup Stadium,40245,East Asia,South Korea,Gwangju,,Gwangju FC
349,Sân vận động Quốc gia Mỹ Đình ♦,40192,Southeast Asia,Vietnam,Hanoi,,Vietnam national football team
350,Goodison Park,40157,Europe,England,"Liverpool, North West",,Everton FC
351,Estádio Governador João Castelo,40149,South America,Brazil,"São Luís, Maranhão",,"Sampaio Corrêa FC, Moto Club SL, Maranhão AC"
352,Stade Miloud-Hadefi,40143,Africa,Algeria,Oran,,"Algeria national football team, MC Oran"
353,Estadio Campeón del Siglo,40005,South America,Uruguay,Montevideo,,Club Atlético Peñarol
354,Metalist Stadium,40003,Europe,Ukraine,Kharkiv,,"FC Metalist Kharkiv, FC Shakhtar Donetsk"
355,Al-Janoub Stadium,40000,West Asia,Qatar,Al-Wakrah,,
356,Al-Thumama Stadium,40000,West Asia,Qatar,Al-Thumama,,
357,Stade Ahmed-Zabana,40000,Africa,Algeria,Oran,,MC Oran
358,Stadion Batakan,40000,Southeast Asia,Indonesia,"Balikpapan, East Kalimantan",,Persiba Balikpapan
359,Stadion Gelora Joko Samudro,40000,Southeast Asia,Indonesia,"Gresik, East Java",,Gresik United
360,Fisht Olympic Stadium,40000,Europe,Russia,Sochi,,
361,Rentschler Field,40000,North America,United States,"East Hartford, Connecticut",,
362,Jawaharlal Nehru Stadium,40000,South Asia,India,Kochi,,"Kerala Blasters, India national football team"
363,Hang Jebat Stadium,40000,Southeast Asia,Malaysia,Malacca,,Melaka United
364,Hong Kong Stadium ♦,40000,East Asia,Hong Kong,So Kon Po,,South China AA
365,Stadium Negeri Pulau Pinang,40000,Southeast Asia,Malaysia,Batu Kawan,,Penang FA
366,Accra Sports Stadium,40000,Africa,Ghana,Accra,,"Accra Hearts of Oak SC, Great Olympics"
367,Sarawak Stadium,40000,Southeast Asia,Malaysia,Kuching,,Sarawak FA
368,Bogyoke Aung San Stadium ♦,40000,Southeast Asia,Myanmar,Yangon,,Yangon United FC
369,Resonac Dome Ōita,40000,East Asia,Japan,Ōita,,Ōita Trinita
370,Stadium Darul Makmur,40000,Southeast Asia,Malaysia,Kuantan,,Pahang FA
371,Khalifa International Stadium,40000,West Asia,Qatar,Doha,,Qatar national football team
372,Stade de l’Amitié sino-gabonaise ♦,40000,Africa,Gabon,Libreville,,Gabon national football team
373,Peoples Football Stadium,40000,South Asia,Pakistan,Karachi,,Pakistan national football team
374,JRD Tata Sports Complex Stadium,40000,South Asia,India,Jamshedpur,,"Jamshedpur FC, Tata Football Academy"
375,Bao'an Stadium,40000,East Asia,China,"Shenzhen, Guangdong",,
376,Kunming Tuodong Sports Centre Stadium,40000,East Asia,China,"Kunming, Yunnan",,China national football team
377,Taizhou Sports Centre Stadium,40000,East Asia,China,"Taizhou, Zhejiang",,
378,Wuhu Olympic Stadium,40000,East Asia,China,"Wuhu, Anhui",,
379,Huizhou Olympic Stadium,40000,East Asia,China,"Huizhou, Guangdong",,
